date,open,high,low,close,volume,tradecount
24/11/2020,18368.01,19418.97,18018,19160.01,2145301450,2179862
23/11/2020,18413.88,18766,18000,18368,1529064320,1629379
22/11/2020,18703.8,18750,17610.86,18414.43,1497662550,1528524
21/11/2020,18655.66,18965.9,18308.58,18703.8,1413641591,1451352
20/11/2020,17802.81,18815.22,17740.04,18655.67,1623135139,1444692
19/11/2020,17777.75,18179.8,17335.65,17802.82,1656794229,1513304
18/11/2020,17659.38,18476.93,17214.45,17776.12,2663337936,2091832
17/11/2020,16713.08,17858.82,16538,17659.38,1982752071,1646652
16/11/2020,15957,16880,15864,16713.57,1335728014,1202386
15/11/2020,16069.56,16180,15774.72,15957,696651729.7,854441
14/11/2020,16320.04,16326.99,15670,16070.45,944765868.6,931424
13/11/2020,16291.85,16480,15952.35,16320.7,1230358611,1208773
12/11/2020,15684.25,16340.7,15440.64,16291.86,1628755509,1472049
11/11/2020,15297.21,15965,15272.68,15684.24,1226425496,1247167
10/11/2020,15328.41,15460,15072.46,15297.21,943615126.1,1093466
9/11/2020,15475.1,15840,14805.54,15328.41,1670447936,1505441
8/11/2020,14818.3,15650,14703.88,15475.1,998031373.8,998773
7/11/2020,15579.93,15753.52,14344.22,14818.3,1536510177,1557021
6/11/2020,15590.02,15960,15166,15579.92,1909660729,1654968
5/11/2020,14144.01,15750,14093.56,15590.02,2131865609,1736055
4/11/2020,14023.53,14259,13525,14144.01,1293872665,1212959
3/11/2020,13549.63,14066.11,13284.99,14023.53,1009402088,1052569
2/11/2020,13761.49,13830,13195.05,13549.37,873629993.8,869850
1/11/2020,13791,13895,13603,13761.5,499124369.1,606248
31/10/2020,13560.1,14100,13411.5,13791,927048458.5,1022202
30/10/2020,13455.69,13669.98,13115,13560.1,946818817.6,1060387
29/10/2020,13266.4,13642.91,12920.77,13455.7,997867948.9,1008433
28/10/2020,13636.16,13859.48,12888,13266.4,1263487953,1234511
27/10/2020,13052.15,13789.29,13019.87,13636.17,1085214438,1003550
26/10/2020,13029.64,13238.81,12765,13052.19,794395722.5,818144
25/10/2020,13111.73,13350,12888,13028.83,502672049.2,610498
24/10/2020,12923.06,13166.73,12870,13111.73,468299521.8,536821
23/10/2020,12968.84,13027.69,12720.08,12923.07,650680239.1,699313
22/10/2020,12780.75,13185,12678.08,12968.52,905778888.9,1035811
21/10/2020,11910,13217.68,11886.95,12780.96,1437122187,1453620
20/10/2020,11751.46,12038.38,11677.59,11909.99,737425592.1,906111
19/10/2020,11503.14,11823.99,11407.96,11751.47,550728683.8,650960
18/10/2020,11360.31,11505,11346.22,11503.14,266150824.3,346946
17/10/2020,11319.24,11402.42,11255,11360.2,253582776,365973
16/10/2020,11505.13,11541.15,11200,11319.32,553211001.6,693210
15/10/2020,11417.89,11617.34,11250.83,11505.12,556436445.6,662386
14/10/2020,11420.57,11547.98,11280,11417.89,472007015.7,590025
13/10/2020,11528.24,11557,11300,11420.56,482663390.7,618262
12/10/2020,11369.02,11720.01,11172,11528.25,604779845.8,740823
11/10/2020,11293.22,11445,11221,11369.02,329927755,509714
10/10/2020,11050.64,11491,11050.51,11293.22,494785212.2,698561
9/10/2020,10925.44,11104.64,10829,11050.64,530822321.5,635681
8/10/2020,10666.4,10950,10530.41,10925.57,559311760.4,659291
